,,,,,,,,(USD millions),,,,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,2026-12-31 00:00:00,2027-12-31 00:00:00,2028-12-31 00:00:00,2029-12-31 00:00:00,2030-12-31 00:00:00,2031-12-31 00:00:00,2032-12-31 00:00:00,2033-12-31 00:00:00,2034-12-31 00:00:00,2035-12-31 00:00:00,TY - 2035,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Core Discounted cash flow analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Core Fair value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PV of FCF,,,475303.306103819,,,,,,,,,,,,,,,69495,72764,73266,26153.3904011838,18052.2063067945,22869.3855586311,46498.8115929767,83504.0785976509,129242.404407305,184074.588266803,244383.510420915,308416.358625289,385769.777941665,,,,,,,,,,,,
,,,,,,,,NPV of terminal value,,,3099946.76235729,,,,,,,,,,,,,,,0.576951814830804,0.483526706803291,0.418356858983144,0.11011312156759,0.0618490649189125,0.0643588810705583,0.108281309300605,0.163202765262016,0.216947810919738,0.26854012906429,0.313861223064967,0.351246055705398,0.393603859910507,,,,,,,,,,,,
,,,,,,,,Enterprise value,,,3575250.06846111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,(-) Debt,,,96547,,,,,,,,,,,,,,,0.576951814830804,0.483526706803291,0.418356858983144,0.11011312156759,0.0618490649189125,0.0643588810705583,0.108281309300605,0.163202765262016,0.216947810919738,0.26854012906429,0.313861223064967,0.351246055705398,0.393603859910507,,,,,,,,,,,,
,,,,,,,,(+) Cash & equivalents,,,203236.422047887,,,,,,,,,,,,,,,69495,72764,73266,26153.3904011838,18052.2063067945,22869.3855586311,46498.8115929767,83504.0785976509,129242.404407305,184074.588266803,244383.510420915,308416.358625289,385769.777941665,,,,,,,,,,,,
,,,,,,,,Equity value,,,3681939.49050899,,,,,,,,,,,,,,,12721.25,12447.25,12230,12190.2511576493,12162.0319638102,12134.181221805,12109.7055366664,12089.1499865016,12072.4361686112,12059.4872483497,12050.2279277644,12044.584414862,12042.4843934887,,,,,,,,,,,,
,,,,,,,,Fully Diluted Shares,,,12183.4537238766,,,,,,,,,,,,,,,5.4629065539943,5.84578923055293,5.99067865903516,2.14543491048359,1.48430840837382,1.88470776400925,3.83979704974538,6.90735731551757,10.705577780841,15.2638818281427,20.2804056392859,25.6062266660467,32.0340691618624,,,,,,,,,,,,
,,,,,,,,Equity fair value per share,,,302.208189398158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Terminal FCF multiple,,,18.8506743828761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Core DCF valuation assumptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cost of Equity,,,0.08663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cost of Debt,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Marginal Tax-Rate,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Long-Term Debt / Total Cap.,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,WACC,,,0.0830485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Perpetual growth rate,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,EV / EBITDA Mult. ('20e adj. EBITDA),,,33.5606543490731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Price to Earnings Mult. ('20e GAAP EPS),,,53.870965762277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Terminal EBITDA Margin,,,0.531313555938468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Terminal FCF Conversion,,,0.161801911003806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cost of Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Risk Free Rate,,,0.0416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Beta,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Market Risk Premium ,,,0.0395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CAPM,,,0.08663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
